,No,Japanese,English,German,French,Korean,Simplified Chinese,Traditional Chinese,Generation,Form,H,A,B,C,D,S,Ability1,Ability2,Ability3,Type1,Type2,Weight,Evolve Flag,GalarPokedex,PaldeaPokedex
282,225,デリバード,Delibird,Botogel,Cadoizo,딜리버드,信使鸟,信使鳥,2,-,45.0,55.0,45.0,65.0,45.0,75.0,やるき,はりきり,ふみん,こおり,ひこう,16.0,1,1,1
283,226,マンタイン,Mantine,Mantax,Demanta,만타인,巨翅飞鱼,巨翅飛魚,2,-,85.0,40.0,70.0,80.0,140.0,70.0,すいすい,ちょすい,みずのベール,みず,ひこう,220.0,1,1,0
284,227,エアームド,Skarmory,Panzaeron,Airmure,무장조,盔甲鸟,盔甲鳥,2,-,65.0,80.0,140.0,40.0,70.0,70.0,するどいめ,がんじょう,くだけるよろい,はがね,ひこう,50.5,1,1,0
285,228,デルビル,Houndour,Hunduster,Malosse,델빌,戴鲁比,戴魯比,2,-,45.0,60.0,30.0,80.0,50.0,65.0,はやおき,もらいび,きんちょうかん,あく,ほのお,10.8,0,0,1
286,229,ヘルガー,Houndoom,Hundemon,Demolosse,헬가,黑鲁加,黑魯加,2,-,75.0,90.0,50.0,110.0,80.0,95.0,はやおき,もらいび,きんちょうかん,あく,ほのお,35.0,1,0,1
287,229,メガヘルガー,Houndoom,Hundemon,Demolosse,헬가,黑鲁加,黑魯加,6,メガシンカ,75.0,90.0,90.0,140.0,90.0,115.0,サンパワー,-,-,あく,ほのお,49.5,1,0,0
288,230,キングドラ,Kingdra,Seedraking,Hyporoi,킹드라,刺龙王,刺龍王,2,-,75.0,95.0,95.0,95.0,95.0,85.0,すいすい,スナイパー,しめりけ,みず,ドラゴン,152.0,1,1,0
289,231,ゴマゾウ,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象,2,-,90.0,60.0,60.0,40.0,40.0,40.0,ものひろい,-,すながくれ,じめん,-,33.5,0,0,1
290,232,ドンファン,Donphan,Donphan,Donphan,코리갑,顿甲,頓甲,2,-,90.0,120.0,120.0,60.0,60.0,50.0,がんじょう,-,すながくれ,じめん,-,120.0,1,0,1
291,233,ポリゴン2,Porygon2,Porygon2,Porygon2,폴리곤2,多边兽Ⅱ,多邊獸Ⅱ,2,-,85.0,80.0,90.0,105.0,95.0,60.0,トレース,ダウンロード,アナライズ,ノーマル,-,32.5,0,1,0
292,234,オドシシ,Stantler,Damhirplex,Cerfrousse,노라키,惊角鹿,驚角鹿,2,-,73.0,95.0,62.0,85.0,65.0,85.0,いかく,おみとおし,そうしょく,ノーマル,-,71.2,0,0,1
293,235,ドーブル,Smeargle,Farbeagle,Queulorior,루브도,图图犬,圖圖犬,2,-,55.0,20.0,35.0,20.0,45.0,75.0,マイペース,テクニシャン,ムラっけ,ノーマル,-,58.0,1,0,0
294,236,バルキー,Tyrogue,Rabauz,Debugant,배루키,无畏小子,無畏小子,2,-,35.0,35.0,35.0,35.0,35.0,35.0,こんじょう,ふくつのこころ,やるき,かくとう,-,21.0,0,1,0
295,237,カポエラー,Hitmontop,Kapoera,Kapoera,카포에라,战舞郎,戰舞郎,2,-,50.0,95.0,95.0,35.0,110.0,70.0,いかく,テクニシャン,ふくつのこころ,かくとう,-,48.0,1,1,0
296,238,ムチュール,Smoochum,Kussilla,Lippouti,뽀뽀라,迷唇娃,迷唇娃,2,-,45.0,30.0,15.0,85.0,65.0,65.0,どんかん,よちむ,うるおいボディ,こおり,エスパー,6.0,0,1,0
297,239,エレキッド,Elekid,Elekid,Elekid,에레키드,电击怪,電擊怪,2,-,45.0,63.0,37.0,65.0,55.0,95.0,せいでんき,-,やるき,でんき,-,23.5,0,1,0
298,240,ブビィ,Magby,Magby,Magby,마그비,鸭嘴宝宝,鴨嘴寶寶,2,-,45.0,75.0,37.0,70.0,55.0,83.0,ほのおのからだ,-,やるき,ほのお,-,21.4,0,1,0
299,241,ミルタンク,Miltank,Miltank,Ecremeuh,밀탱크,大奶罐,大奶罐,2,-,95.0,80.0,105.0,40.0,70.0,100.0,あついしぼう,きもったま,そうしょく,ノーマル,-,75.5,1,1,0
300,242,ハピナス,Blissey,Heiteira,Leuphorie,해피나스,幸福蛋,幸福蛋,2,-,255.0,10.0,10.0,75.0,135.0,55.0,しぜんかいふく,てんのめぐみ,いやしのこころ,ノーマル,-,46.8,1,1,1
301,243,ライコウ,Raikou,Raikou,Raikou,라이코,雷公,雷公,2,-,90.0,85.0,75.0,115.0,100.0,115.0,プレッシャー,-,せいしんりょく,でんき,-,178.0,1,1,0
302,244,エンテイ,Entei,Entei,Entei,앤테이,炎帝,炎帝,2,-,115.0,115.0,85.0,90.0,75.0,100.0,プレッシャー,-,せいしんりょく,ほのお,-,198.0,1,1,0
303,245,スイクン,Suicune,Suicune,Suicune,스이쿤,水君,水君,2,-,100.0,75.0,115.0,90.0,115.0,85.0,プレッシャー,-,せいしんりょく,みず,-,187.0,1,1,0
304,246,ヨーギラス,Larvitar,Larvitar,Embrylex,애버라스,幼基拉斯,幼基拉斯,2,-,50.0,64.0,50.0,45.0,50.0,41.0,こんじょう,-,すながくれ,いわ,じめん,72.0,0,1,1
305,247,サナギラス,Pupitar,Pupitar,Ymphect,데기라스,沙基拉斯,沙基拉斯,2,-,70.0,84.0,70.0,65.0,70.0,51.0,だっぴ,-,だっぴ,いわ,じめん,152.0,0,1,1
306,248,バンギラス,Tyranitar,Despotar,Tyranocif,마기라스,班基拉斯,班基拉斯,2,-,100.0,134.0,110.0,95.0,100.0,61.0,すなおこし,-,きんちょうかん,いわ,あく,202.0,1,1,1
307,248,メガバンギラス,Tyranitar,Despotar,Tyranocif,마기라스,班基拉斯,班基拉斯,6,メガシンカ,100.0,164.0,150.0,95.0,120.0,71.0,すなおこし,-,-,いわ,あく,255.0,1,0,0
308,249,ルギア,Lugia,Lugia,Lugia,루기아,洛奇亚,洛奇亞,2,-,106.0,90.0,130.0,90.0,154.0,110.0,プレッシャー,-,マルチスケイル,エスパー,ひこう,216.0,1,1,0
309,250,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,凤王,鳳王,2,-,106.0,130.0,90.0,110.0,154.0,90.0,プレッシャー,-,さいせいりょく,ほのお,ひこう,199.0,1,1,0
310,251,セレビィ,Celebi,Celebi,Celebi,세레비,时拉比,時拉比,2,-,100.0,100.0,100.0,100.0,100.0,100.0,しぜんかいふく,-,-,エスパー,くさ,5.0,1,1,0
311,252,キモリ,Treecko,Geckarbor,Arcko,나무지기,木守宫,木守宮,3,-,40.0,45.0,35.0,65.0,55.0,70.0,しんりょく,-,かるわざ,くさ,-,5.0,0,1,0
312,253,ジュプトル,Grovyle,Reptain,Massko,나무돌이,森林蜥蜴,森林蜥蜴,3,-,50.0,65.0,45.0,85.0,65.0,95.0,しんりょく,-,かるわざ,くさ,-,21.6,0,1,0
313,254,ジュカイン,Sceptile,Gewaldro,Jungko,나무킹,蜥蜴王,蜥蜴王,3,-,70.0,85.0,65.0,105.0,85.0,120.0,しんりょく,-,かるわざ,くさ,-,52.2,1,1,0
314,254,メガジュカイン,Sceptile,Gewaldro,Jungko,나무킹,蜥蜴王,蜥蜴王,6,メガシンカ,70.0,110.0,75.0,145.0,85.0,145.0,ひらいしん,-,-,くさ,ドラゴン,52.2,1,0,0
315,255,アチャモ,Torchic,Flemmli,Poussifeu,아차모,火稚鸡,火稚雞,3,-,45.0,60.0,40.0,70.0,50.0,45.0,もうか,-,かそく,ほのお,-,2.5,0,1,0
316,256,ワカシャモ,Combusken,Jungglut,Galifeu,영치코,力壮鸡,力壯雞,3,-,60.0,85.0,60.0,85.0,60.0,55.0,もうか,-,かそく,ほのお,かくとう,19.5,0,1,0
317,257,バシャーモ,Blaziken,Lohgock,Brasegali,번치코,火焰鸡,火焰雞,3,-,80.0,120.0,70.0,110.0,70.0,80.0,もうか,-,かそく,ほのお,かくとう,52.0,1,1,0
318,257,メガバシャーモ,Blaziken,Lohgock,Brasegali,번치코,火焰鸡,火焰雞,6,メガシンカ,80.0,160.0,80.0,130.0,80.0,100.0,かそく,-,-,ほのお,かくとう,52.0,1,0,0
319,258,ミズゴロウ,Mudkip,Hydropi,Gobou,물짱이,水跃鱼,水躍魚,3,-,50.0,70.0,50.0,50.0,50.0,40.0,げきりゅう,-,しめりけ,みず,-,7.6,0,1,0
320,259,ヌマクロー,Marshtomp,Moorabbel,Flobio,늪짱이,沼跃鱼,沼躍魚,3,-,70.0,85.0,70.0,60.0,70.0,50.0,げきりゅう,-,しめりけ,みず,じめん,28.0,0,1,0
321,260,ラグラージ,Swampert,Sumpex,Laggron,대짱이,巨沼怪,巨沼怪,3,-,100.0,110.0,90.0,85.0,90.0,60.0,げきりゅう,-,しめりけ,みず,じめん,81.9,1,1,0
322,260,メガラグラージ,Swampert,Sumpex,Laggron,대짱이,巨沼怪,巨沼怪,6,メガシンカ,100.0,150.0,110.0,95.0,110.0,70.0,すいすい,-,-,みず,じめん,102.0,1,0,0
323,261,ポチエナ,Poochyena,Fiffyen,Medhyena,포챠나,土狼犬,土狼犬,3,-,35.0,55.0,35.0,30.0,30.0,35.0,にげあじ,はやあし,びびり,あく,-,13.6,0,0,0
324,262,グラエナ,Mightyena,Magnayen,Grahyena,그라에나,大狼犬,大狼犬,3,-,70.0,90.0,70.0,60.0,60.0,70.0,いかく,はやあし,じしんかじょう,あく,-,37.0,1,0,0
325,263,ジグザグマ,Zigzagoon,Zigzachs,Zigzaton,지그제구리,蛇纹熊,蛇紋熊,3,-,38.0,30.0,41.0,30.0,41.0,60.0,ものひろい,くいしんぼう,はやあし,ノーマル,-,17.5,0,1,0
326,263,ジグザグマ,Zigzagoon,Zigzachs,Zigzaton,지그제구리,蛇纹熊,蛇紋熊,8,ガラルのすがた,38.0,30.0,41.0,30.0,41.0,60.0,ものひろい,くいしんぼう,はやあし,あく,ノーマル,17.5,0,1,0
327,264,マッスグマ,Linoone,Geradaks,Lineon,직구리,直冲熊,直衝熊,3,-,78.0,70.0,61.0,50.0,61.0,100.0,ものひろい,くいしんぼう,はやあし,ノーマル,-,32.5,1,1,0
328,264,マッスグマ,Linoone,Geradaks,Lineon,직구리,直冲熊,直衝熊,8,ガラルのすがた,78.0,70.0,61.0,50.0,61.0,100.0,ものひろい,くいしんぼう,はやあし,あく,ノーマル,32.5,0,1,0
329,265,ケムッソ,Wurmple,Waumpel,Chenipotte,개무소,刺尾虫,刺尾蟲,3,-,45.0,45.0,35.0,20.0,30.0,20.0,りんぷん,-,にげあし,むし,-,3.6,0,0,0
330,266,カラサリス,Silcoon,Schaloko,Armulys,실쿤,甲壳茧,甲殼繭,3,-,50.0,35.0,55.0,25.0,25.0,15.0,だっぴ,-,だっぴ,むし,-,10.0,0,0,0
331,267,アゲハント,Beautifly,Papinella,Charmillon,뷰티플라이,狩猎凤蝶,狩獵鳳蝶,3,-,60.0,70.0,50.0,100.0,50.0,65.0,むしのしらせ,-,とうそうしん,むし,ひこう,28.4,1,0,0
332,268,マユルド,Cascoon,Panekon,Blindalys,카스쿤,盾甲茧,盾甲繭,3,-,50.0,35.0,55.0,25.0,25.0,15.0,だっぴ,-,だっぴ,むし,-,11.5,0,0,0
333,269,ドクケイル,Dustox,Pudox,Papinox,독케일,毒粉蛾,毒粉蛾,3,-,60.0,50.0,70.0,50.0,90.0,65.0,りんぷん,-,ふくがん,むし,どく,31.6,1,0,0
334,270,ハスボー,Lotad,Loturzel,Nenupiot,연꽃몬,莲叶童子,蓮葉童子,3,-,40.0,30.0,30.0,40.0,50.0,30.0,すいすい,あめうけざら,マイペース,みず,くさ,2.6,0,1,0
335,271,ハスブレロ,Lombre,Lombrero,Lombre,로토스,莲帽小童,蓮帽小童,3,-,60.0,50.0,50.0,60.0,70.0,50.0,すいすい,あめうけざら,マイペース,みず,くさ,32.5,0,1,0
336,272,ルンパッパ,Ludicolo,Kappalores,Ludicolo,로파파,乐天河童,樂天河童,3,-,80.0,70.0,70.0,90.0,100.0,70.0,すいすい,あめうけざら,マイペース,みず,くさ,55.0,1,1,0
337,273,タネボー,Seedot,Samurzel,Grainipiot,도토링,橡实果,橡實果,3,-,40.0,40.0,50.0,30.0,30.0,30.0,ようりょくそ,はやおき,わるいてぐせ,くさ,-,4.0,0,1,0
338,274,コノハナ,Nuzleaf,Blanas,Pifeuil,잎새코,长鼻叶,長鼻葉,3,-,70.0,70.0,40.0,60.0,40.0,60.0,ようりょくそ,はやおき,わるいてぐせ,くさ,あく,28.0,0,1,0
339,275,ダーテング,Shiftry,Tengulist,Tengalice,다탱구,狡猾天狗,狡猾天狗,3,-,90.0,100.0,60.0,90.0,60.0,80.0,ようりょくそ,はやおき,わるいてぐせ,くさ,あく,59.6,1,1,0
340,276,スバメ,Taillow,Schwalbini,Nirondelle,테일로,傲骨燕,傲骨燕,3,-,40.0,55.0,30.0,30.0,30.0,85.0,こんじょう,-,きもったま,ノーマル,ひこう,2.3,0,0,0
341,277,オオスバメ,Swellow,Schwalboss,Heledelle,스왈로,大王燕,大王燕,3,-,60.0,85.0,60.0,75.0,50.0,125.0,こんじょう,-,きもったま,ノーマル,ひこう,19.8,1,0,0
342,278,キャモメ,Wingull,Wingull,Goelise,갈모매,长翅鸥,長翅鷗,3,-,40.0,30.0,30.0,55.0,30.0,85.0,するどいめ,あめふらし,あめうけざら,みず,ひこう,9.5,0,1,1
343,279,ペリッパー,Pelipper,Pelipper,Bekipan,패리퍼,大嘴鸥,大嘴鷗,3,-,60.0,50.0,100.0,95.0,70.0,65.0,するどいめ,あめふらし,あめうけざら,みず,ひこう,28.0,1,1,1
344,280,ラルトス,Ralts,Trasla,Tarsal,랄토스,拉鲁拉丝,拉魯拉絲,3,-,28.0,25.0,25.0,45.0,35.0,40.0,シンクロ,トレース,テレパシー,エスパー,フェアリー,6.6,0,1,1
345,281,キルリア,Kirlia,Kirlia,Kirlia,킬리아,奇鲁莉安,奇魯莉安,3,-,38.0,35.0,35.0,65.0,55.0,50.0,シンクロ,トレース,テレパシー,エスパー,フェアリー,20.2,0,1,1
346,282,サーナイト,Gardevoir,Guardevoir,Gardevoir,가디안,沙奈朵,沙奈朵,3,-,68.0,65.0,65.0,125.0,115.0,80.0,シンクロ,トレース,テレパシー,エスパー,フェアリー,48.4,1,1,1
347,282,メガサーナイト,Gardevoir,Guardevoir,Gardevoir,가디안,沙奈朵,沙奈朵,6,メガシンカ,68.0,85.0,65.0,165.0,135.0,100.0,フェアリースキン,-,-,エスパー,フェアリー,48.4,1,0,0
348,283,アメタマ,Surskit,Gehweiher,Arakdo,비구술,溜溜糖球,溜溜糖球,3,-,40.0,30.0,32.0,50.0,52.0,65.0,すいすい,-,あめうけざら,むし,みず,1.7,0,0,1
349,284,アメモース,Masquerain,Maskeregen,Maskadra,비나방,雨翅蛾,雨翅蛾,3,-,70.0,60.0,62.0,100.0,82.0,80.0,いかく,-,きんちょうかん,むし,ひこう,3.6,1,0,1
350,285,キノココ,Shroomish,Knilz,Balignon,버섯꼬,蘑蘑菇,蘑蘑菇,3,-,60.0,40.0,60.0,40.0,60.0,35.0,ほうし,ポイズンヒール,はやあし,くさ,-,4.5,0,0,1
351,286,キノガッサ,Breloom,Kapilz,Chapignon,버섯모,斗笠菇,斗笠菇,3,-,60.0,130.0,80.0,60.0,60.0,70.0,ほうし,ポイズンヒール,テクニシャン,くさ,かくとう,39.2,1,0,1
352,287,ナマケロ,Slakoth,Bummelz,Parecool,게을로,懒人獭,懶人獺,3,-,60.0,60.0,60.0,35.0,35.0,30.0,なまけ,-,-,ノーマル,-,24.0,0,0,1
353,288,ヤルキモノ,Vigoroth,Muntier,Vigoroth,발바로,过动猿,過動猿,3,-,80.0,80.0,80.0,55.0,55.0,90.0,やるき,-,-,ノーマル,-,46.5,0,0,1
354,289,ケッキング,Slaking,Letarking,Monaflemit,게을킹,请假王,請假王,3,-,150.0,160.0,100.0,95.0,65.0,100.0,なまけ,-,-,ノーマル,-,130.5,1,0,1
355,290,ツチニン,Nincada,Nincada,Ningale,토중몬,土居忍士,土居忍士,3,-,31.0,45.0,90.0,30.0,30.0,40.0,ふくがん,-,にげあし,むし,じめん,5.5,0,1,0
356,291,テッカニン,Ninjask,Ninjask,Ninjask,아이스크,铁面忍者,鐵面忍者,3,-,61.0,90.0,45.0,50.0,50.0,160.0,かそく,-,すりぬけ,むし,ひこう,12.0,1,1,0
357,292,ヌケニン,Shedinja,Ninjatom,Munja,껍질몬,脱壳忍者,脫殼忍者,3,-,1.0,90.0,45.0,30.0,30.0,40.0,ふしぎなまもり,-,-,むし,ゴースト,1.2,1,1,0
358,293,ゴニョニョ,Whismur,Flurmel,Chuchmur,소곤룡,咕妞妞,咕妞妞,3,-,64.0,51.0,23.0,51.0,23.0,28.0,ぼうおん,-,びびり,ノーマル,-,16.3,0,1,0
359,294,ドゴーム,Loudred,Krakeelo,Ramboum,노공룡,吼爆弹,吼爆彈,3,-,84.0,71.0,43.0,71.0,43.0,48.0,ぼうおん,-,きもったま,ノーマル,-,40.5,0,1,0
360,295,バクオング,Exploud,Krawumms,Brouhabam,폭음룡,爆音怪,爆音怪,3,-,104.0,91.0,63.0,91.0,73.0,68.0,ぼうおん,-,きもったま,ノーマル,-,84.0,1,1,0
361,296,マクノシタ,Makuhita,Makuhita,Makuhita,마크탕,幕下力士,幕下力士,3,-,72.0,60.0,30.0,20.0,30.0,25.0,あついしぼう,こんじょう,ちからずく,かくとう,-,86.4,0,0,1
362,297,ハリテヤマ,Hariyama,Hariyama,Hariyama,하리뭉,铁掌力士,鐵掌力士,3,-,144.0,120.0,60.0,40.0,60.0,50.0,あついしぼう,こんじょう,ちからずく,かくとう,-,253.8,1,0,1
363,298,ルリリ,Azurill,Azurill,Azurill,루리리,露力丽,露力麗,3,-,50.0,20.0,40.0,20.0,40.0,20.0,あついしぼう,ちからもち,そうしょく,ノーマル,フェアリー,2.0,0,1,1
364,299,ノズパス,Nosepass,Nasgnet,Tarinor,코코파스,朝北鼻,朝北鼻,3,-,30.0,45.0,135.0,45.0,90.0,30.0,がんじょう,じりょく,すなのちから,いわ,-,97.0,0,0,0
365,300,エネコ,Skitty,Eneco,Skitty,에나비,向尾喵,向尾喵,3,-,50.0,45.0,45.0,35.0,35.0,50.0,メロメロボディ,ノーマルスキン,ミラクルスキン,ノーマル,-,11.0,0,0,0
366,301,エネコロロ,Delcatty,Enekoro,Delcatty,델케티,优雅猫,優雅貓,3,-,70.0,65.0,65.0,55.0,55.0,90.0,メロメロボディ,ノーマルスキン,ミラクルスキン,ノーマル,-,32.6,1,0,0
367,302,ヤミラミ,Sableye,Zobiris,Tenefix,깜까미,勾魂眼,勾魂眼,3,-,50.0,75.0,75.0,65.0,65.0,50.0,するどいめ,あとだし,いたずらごころ,あく,ゴースト,11.0,1,1,1
368,302,メガヤミラミ,Sableye,Zobiris,Tenefix,깜까미,勾魂眼,勾魂眼,6,メガシンカ,50.0,85.0,125.0,85.0,115.0,20.0,マジックミラー,-,-,あく,ゴースト,161.0,1,0,0
369,303,クチート,Mawile,Flunkifer,Mysdibule,입치트,大嘴娃,大嘴娃,3,-,50.0,85.0,85.0,55.0,55.0,50.0,かいりきバサミ,いかく,ちからずく,はがね,フェアリー,11.0,1,1,0
370,303,メガクチート,Mawile,Flunkifer,Mysdibule,입치트,大嘴娃,大嘴娃,6,メガシンカ,50.0,105.0,125.0,55.0,95.0,50.0,ちからもち,-,-,はがね,フェアリー,23.5,1,0,0
371,304,ココドラ,Aron,Stollunior,Galekid,가보리,可可多拉,可可多拉,3,-,50.0,70.0,100.0,40.0,40.0,30.0,がんじょう,いしあたま,ヘヴィメタル,はがね,いわ,60.0,0,1,0
372,305,コドラ,Lairon,Stollrak,Galegon,갱도라,可多拉,可多拉,3,-,60.0,90.0,140.0,50.0,50.0,40.0,がんじょう,いしあたま,ヘヴィメタル,はがね,いわ,120.0,0,1,0
373,306,ボスゴドラ,Aggron,Stolloss,Galeking,보스로라,波士可多拉,波士可多拉,3,-,70.0,110.0,180.0,60.0,60.0,50.0,がんじょう,いしあたま,ヘヴィメタル,はがね,いわ,360.0,1,1,0
374,306,メガボスゴドラ,Aggron,Stolloss,Galeking,보스로라,波士可多拉,波士可多拉,6,メガシンカ,70.0,140.0,230.0,60.0,80.0,50.0,フィルター,-,-,はがね,-,395.0,1,0,0
375,307,アサナン,Meditite,Meditie,Meditikka,요가랑,玛沙那,瑪沙那,3,-,30.0,40.0,55.0,40.0,55.0,60.0,ヨガパワー,-,テレパシー,かくとう,エスパー,11.2,0,0,1
376,308,チャーレム,Medicham,Meditalis,Charmina,요가램,恰雷姆,恰雷姆,3,-,60.0,60.0,75.0,60.0,75.0,80.0,ヨガパワー,-,テレパシー,かくとう,エスパー,31.5,1,0,1
377,308,メガチャーレム,Medicham,Meditalis,Charmina,요가램,恰雷姆,恰雷姆,6,メガシンカ,60.0,100.0,85.0,80.0,85.0,100.0,ヨガパワー,-,-,かくとう,エスパー,31.5,1,0,0
378,309,ラクライ,Electrike,Frizelbliz,Dynavolt,썬더라이,落雷兽,落雷獸,3,-,40.0,45.0,40.0,65.0,40.0,65.0,せいでんき,ひらいしん,マイナス,でんき,-,15.2,0,1,0
379,310,ライボルト,Manectric,Voltenso,Elecsprint,썬더볼트,雷电兽,雷電獸,3,-,70.0,75.0,60.0,105.0,60.0,105.0,せいでんき,ひらいしん,マイナス,でんき,-,40.2,1,1,0
380,310,メガライボルト,Manectric,Voltenso,Elecsprint,썬더볼트,雷电兽,雷電獸,6,メガシンカ,70.0,75.0,80.0,135.0,80.0,135.0,いかく,-,-,でんき,-,44.0,1,0,0
381,311,プラスル,Plusle,Plusle,Posipi,플러시,正电拍拍,正電拍拍,3,-,60.0,50.0,40.0,85.0,75.0,95.0,プラス,-,ひらいしん,でんき,-,4.2,1,0,0
382,312,マイナン,Minun,Minun,Negapi,마이농,负电拍拍,負電拍拍,3,-,60.0,40.0,50.0,75.0,85.0,95.0,マイナス,-,ちくでん,でんき,-,4.2,1,0,0
383,313,バルビート,Volbeat,Volbeat,Muciole,볼비트,电萤虫,電螢蟲,3,-,65.0,73.0,75.0,47.0,85.0,85.0,はっこう,むしのしらせ,いたずらごころ,むし,-,17.7,1,0,0
384,314,イルミーゼ,Illumise,Illumise,Lumivole,네오비트,甜甜萤,甜甜螢,3,-,65.0,47.0,75.0,73.0,85.0,85.0,どんかん,いろめがね,いたずらごころ,むし,-,17.7,1,0,0
385,315,ロゼリア,Roselia,Roselia,Roselia,로젤리아,毒蔷薇,毒薔薇,3,-,50.0,60.0,45.0,100.0,80.0,65.0,しぜんかいふく,どくのとげ,リーフガード,くさ,どく,2.0,0,1,0
386,316,ゴクリン,Gulpin,Schluppuck,Gloupti,꼴깍몬,溶食兽,溶食獸,3,-,70.0,43.0,53.0,43.0,53.0,40.0,ヘドロえき,ねんちゃく,くいしんぼう,どく,-,10.3,0,0,1
387,317,マルノーム,Swalot,Schlukwech,Avaltout,꿀꺽몬,吞食兽,吞食獸,3,-,100.0,73.0,83.0,73.0,83.0,55.0,ヘドロえき,ねんちゃく,くいしんぼう,どく,-,80.0,1,0,1
388,318,キバニア,Carvanha,Kanivanha,Carvanha,샤프니아,利牙鱼,利牙魚,3,-,45.0,90.0,20.0,65.0,20.0,65.0,さめはだ,-,かそく,みず,あく,20.8,0,1,0
389,319,サメハダー,Sharpedo,Tohaido,Sharpedo,샤크니아,巨牙鲨,巨牙鯊,3,-,70.0,120.0,40.0,95.0,40.0,95.0,さめはだ,-,かそく,みず,あく,88.8,1,1,0
390,319,メガサメハダー,Sharpedo,Tohaido,Sharpedo,샤크니아,巨牙鲨,巨牙鯊,6,メガシンカ,70.0,140.0,70.0,110.0,65.0,105.0,がんじょうあご,-,-,みず,あく,130.3,1,0,0
391,320,ホエルコ,Wailmer,Wailmer,Wailmer,고래왕자,吼吼鲸,吼吼鯨,3,-,130.0,70.0,35.0,70.0,35.0,60.0,どんかん,みずのベール,プレッシャー,みず,-,130.0,0,1,0
392,321,ホエルオー,Wailord,Wailord,Wailord,고래왕,吼鲸王,吼鯨王,3,-,170.0,90.0,45.0,90.0,45.0,60.0,どんかん,みずのベール,プレッシャー,みず,-,398.0,1,1,0
393,322,ドンメル,Numel,Camaub,Chamallot,둔타,呆火驼,呆火駝,3,-,60.0,60.0,40.0,65.0,45.0,35.0,どんかん,たんじゅん,マイペース,ほのお,じめん,24.0,0,0,1
394,323,バクーダ,Camerupt,Camerupt,Camerupt,폭타,喷火驼,噴火駝,3,-,70.0,100.0,70.0,105.0,75.0,40.0,マグマのよろい,ハードロック,いかりのつぼ,ほのお,じめん,220.0,1,0,1
395,323,メガバクーダ,Camerupt,Camerupt,Camerupt,폭타,喷火驼,噴火駝,6,メガシンカ,70.0,120.0,100.0,145.0,105.0,20.0,ちからずく,-,-,ほのお,じめん,320.5,1,0,0
396,324,コータス,Torkoal,Qurtel,Chartor,코터스,煤炭龟,煤炭龜,3,-,70.0,85.0,140.0,85.0,70.0,20.0,しろいけむり,ひでり,シェルアーマー,ほのお,-,80.4,1,1,1
397,325,バネブー,Spoink,Spoink,Spoink,피그점프,跳跳猪,跳跳豬,3,-,60.0,25.0,35.0,70.0,80.0,60.0,あついしぼう,マイペース,くいしんぼう,エスパー,-,30.6,0,0,1
398,326,ブーピッグ,Grumpig,Groink,Groret,피그킹,噗噗猪,噗噗豬,3,-,80.0,45.0,65.0,90.0,110.0,80.0,あついしぼう,マイペース,くいしんぼう,エスパー,-,71.5,1,0,1
399,327,パッチール,Spinda,Pandir,Spinda,얼루기,晃晃斑,晃晃斑,3,-,60.0,60.0,60.0,60.0,60.0,60.0,マイペース,ちどりあし,あまのじゃく,ノーマル,-,5.0,1,0,0
400,328,ナックラー,Trapinch,Knacklion,Kraknoix,톱치,大颚蚁,大顎蟻,3,-,45.0,100.0,45.0,45.0,45.0,10.0,かいりきバサミ,ありじごく,ちからずく,じめん,-,15.0,0,1,0
401,329,ビブラーバ,Vibrava,Vibrava,Vibraninf,비브라바,超音波幼虫,超音波幼蟲,3,-,50.0,70.0,50.0,50.0,50.0,70.0,ふゆう,-,ふゆう,じめん,ドラゴン,15.3,0,1,0
402,330,フライゴン,Flygon,Libelldra,Libegon,플라이곤,沙漠蜻蜓,沙漠蜻蜓,3,-,80.0,100.0,80.0,80.0,80.0,100.0,ふゆう,-,ふゆう,じめん,ドラゴン,82.0,1,1,0
403,331,サボネア,Cacnea,Tuska,Cacnea,선인왕,刺球仙人掌,刺球仙人掌,3,-,50.0,85.0,40.0,85.0,40.0,35.0,すながくれ,-,ちょすい,くさ,-,51.3,0,0,1
404,332,ノクタス,Cacturne,Noktuska,Cacturne,밤선인,梦歌仙人掌,夢歌仙人掌,3,-,70.0,115.0,60.0,115.0,60.0,55.0,すながくれ,-,ちょすい,くさ,あく,77.4,1,0,1
405,333,チルット,Swablu,Wablu,Tylton,파비코,青绵鸟,青綿鳥,3,-,45.0,40.0,60.0,40.0,75.0,50.0,しぜんかいふく,-,ノーてんき,ノーマル,ひこう,1.2,0,1,1
406,334,チルタリス,Altaria,Altaria,Altaria,파비코리,七夕青鸟,七夕青鳥,3,-,75.0,70.0,90.0,70.0,105.0,80.0,しぜんかいふく,-,ノーてんき,ドラゴン,ひこう,20.6,1,1,1
407,334,メガチルタリス,Altaria,Altaria,Altaria,파비코리,七夕青鸟,七夕青鳥,6,メガシンカ,75.0,110.0,110.0,110.0,105.0,80.0,フェアリースキン,-,-,ドラゴン,フェアリー,20.6,1,0,0
408,335,ザングース,Zangoose,Sengo,Mangriff,쟝고,猫鼬斩,貓鼬斬,3,-,73.0,115.0,60.0,60.0,60.0,90.0,めんえき,-,どくぼうそう,ノーマル,-,40.3,1,0,1
